key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
contextContextid,Translation key: contextContextid,,,,,,,,,,,,Context: $contextId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continueButton,Translation key: continueButton,,,,,,,,,,,,Continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copiedToClipboard,Translation key: copiedToClipboard,,,,,,,,,,,,Copied to clipboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copy,Translation key: copy,ቅጂ,نسخ,Копирай,কপি,কপি করুন,[BS] Copy,Copia,[CS] Copy,Copïo,Kopiér,Kopieren,Copy,Copiar,[ES_419] Copy,Kopeeri,[EU] Copy,کپی,Kopioi,Kopiera,Copier,Cóipeáil,[GL] Copy,Copy,העתק,प्रतिलिपि बनाएँ,Kopiraj,Másolás,[ID] Copy,Afrita,[IT] Copy,コピー,복사,[LT] Copy,[LV] Copy,[MK] Copy,[MS] Copy,[MT] Copy,Kopiëren,Kopier,Kopiuj,[PT] Copy,Copiar,Copiază,Копировать,Kopírovať,Kopiraj,[SQ] Copy,[SR] Copy,Kopiera,คัดลอก,Kopyala,Копіювати,Copy,Sao chép,复制,Copy
copy1,Translation key: copy1,,,,,,,,,,,,Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copyLink,Translation key: copyLink,,,,,,,,,,,,Copy Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
couldNotOpenPrivacyPolicy,Translation key: couldNotOpenPrivacyPolicy,,,,,,,,,,,,Could not open privacy policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,Translation key: country,,,,,,,,,,,,Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
create,Translation key: create,,,,,,,,,,,,Create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createGame,Translation key: createGame,ጨዋታ ይፍጠሩ,إنشاء لعبة,Създай игра,[BN] Create Game,[BN_BD] Create Game,[BS] Create Game,Crea joc,Vytvořit hru,Creu gêm,Opret spil,[DE] Create Game,Create Game,[ES] Create Game,[ES_419] Create Game,Loo mäng,[EU] Create Game,ایجاد بازی,Luo peli,Búg spæl upp,[FR] Create Game,Cruthaigh cluiche,[GL] Create Game,Create Game,[HE] Create Game,गेम बनाएं,Kreiraj igru,Játék létrehozása,[ID] Create Game,Búa til leik,[IT] Create Game,[JA] Create Game,[KO] Create Game,[LT] Create Game,[LV] Create Game,[MK] Create Game,[MS] Create Game,[MT] Create Game,[NL] Create Game,[NO] Create Game,[PL] Create Game,[PT] Create Game,[PT_BR] Create Game,[RO] Create Game,[RU] Create Game,[SK] Create Game,[SL] Create Game,[SQ] Create Game,[SR] Create Game,[SV] Create Game,[TH] Create Game,[TR] Create Game,[UK] Create Game,Create Game,[VI] Create Game,创建游戏,Create Game
createGame1,Translation key: createGame1,,,,,,,,,,,,Create Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createLiveSession,Translation key: createLiveSession,በቀጥታ ትዕይንት ይፍጠሩ,إنشاء جلسة مباشرة,Създаване на жива сесия,লাইভ সেশন তৈরি করুন,লাইভ সেশন তৈরি করুন,[BS] Create Live Session,Crea sessió en directe,Vytvořit živou relaci,[CY] Create Live Session,[DA] Create Live Session,Live-Sitzung erstellen,Create Live Session,Crear sesión en vivo,[ES_419] Create Live Session,Loo otseülekanne,[EU] Create Live Session,ایجاد جلسه زنده,[FI] Create Live Session,Búg livifund upp,Créer une session en direct,Cruthaigh seisiún beo,[GL] Create Live Session,Create Live Session,צור מפגש חי,लाइव सत्र बनाएं,Kreiraj live sesiju,Élő munkamenet létrehozása,[ID] Create Live Session,[IS] Create Live Session,[IT] Create Live Session,ライブセッションを作成,라이브 세션 만들기,[LT] Create Live Session,[LV] Create Live Session,[MK] Create Live Session,[MS] Create Live Session,[MT] Create Live Session,Live sessie maken,Opprett direktesendt økt,Utwórz sesję na żywo,Criar sessão ao vivo,Criar sessão ao vivo,Creează sesiune live,Создать живую сессию,[SK] Create Live Session,Ustvari živo sejo,[SQ] Create Live Session,[SR] Create Live Session,[SV] Create Live Session,สร้างเซสชันสด,Canlı oturum oluştur,Створити живу сесію,Create Live Session,Tạo phiên trực tiếp,创建直播会话,Create Live Session
createNew,Translation key: createNew,አዲስ ይፍጠሩ,إنشاء جديد,Създай ново,নতুন তৈরি করুন,নতুন তৈরি করুন,[BS] Create New,Crea de nou,Vytvořit nové,Creu newydd,Opret ny,[DE] Create New,Create New,[ES] Create New,[ES_419] Create New,Loo uus,[EU] Create New,ایجاد جدید,Luo uusi,Búg nýtt upp,[FR] Create New,Cruthaigh nua,[GL] Create New,Create New,צור חדש,नया बनाएं,Kreiraj novo,Új létrehozása,[ID] Create New,Búa til nýjan,[IT] Create New,新規作成,[KO] Create New,[LT] Create New,[LV] Create New,[MK] Create New,[MS] Create New,[MT] Create New,Nieuw maken,Opprett ny,Utwórz nowe,[PT] Create New,Criar novo,Creează nou,Создать новое,[SK] Create New,Ustvari novo,[SQ] Create New,[SR] Create New,Skapa ny,สร้างใหม่,Yeni oluştur,Створити нове,Create New,Tạo mới,新建,Create New
createNewGame,Translation key: createNewGame,,,,,,,,,,,,Create New Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createNewInvoice,Translation key: createNewInvoice,,,,,,,,,,,,Create New Invoice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createNewSurvey,Translation key: createNewSurvey,,,,,,,,,,,,Create New Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
createVirtualSession,Translation key: createVirtualSession,ብልጽግናዊ ትዕይንት ይፍጠሩ,إنشاء جلسة افتراضية,Създаване на виртуална сесия,ভার্চুয়াল সেশন তৈরি করুন,ভার্চুয়াল সেশন তৈরি করুন,[BS] Create Virtual Session,Crea sessió virtual,Vytvořit virtuální relaci,Creu sesiwn rhithwir,[DA] Create Virtual Session,Virtuelle Sitzung erstellen,Create Virtual Session,Crear sesión virtual,[ES_419] Create Virtual Session,Loo virtuaalne seanss,[EU] Create Virtual Session,ایجاد جلسه مجازی,Luo virtuaalisessio,Búgva upp røktarfund,Créer une session virtuelle,[GA] Create Virtual Session,[GL] Create Virtual Session,Create Virtual Session,צור מפגש וירטואלי,वर्चुअल सत्र बनाएं,Kreiraj virtualnu sesiju,Virtuális munkamenet létrehozása,[ID] Create Virtual Session,Búðu til sýndarlotu,[IT] Create Virtual Session,バーチャルセッションを作成,가상 세션 생성,[LT] Create Virtual Session,[LV] Create Virtual Session,[MK] Create Virtual Session,[MS] Create Virtual Session,[MT] Create Virtual Session,Virtuele sessie maken,Opprett virtuell økt,Utwórz wirtualną sesję,Criar sessão virtual,Criar sessão virtual,Creează sesiune virtuală,Создать виртуальную сессию,[SK] Create Virtual Session,Ustvari virtualno sejo,[SQ] Create Virtual Session,[SR] Create Virtual Session,[SV] Create Virtual Session,สร้างเซสชันเสมือน,Sanal oturum oluştur,Створити віртуальну сесію,Create Virtual Session,Tạo phiên ảo,创建虚拟会话,Create Virtual Session
createYourFirstGame,Translation key: createYourFirstGame,የመጀመሪያዎቹን ጨዋታ ይፍጠሩ,أنشئ لعبتك الأولى,Създайте първата си игра,[BN] Create your first game,আপনার প্রথম গেম তৈরি করুন,[BS] Create your first game,Crea el teu primer joc,Vytvořte svou první hru,Creu eich gêm gyntaf,Opret dit første spil,Erstellen Sie Ihr erstes Spiel,Create your first game,Crea tu primer juego,[ES_419] Create your first game,Loo oma esimene mäng,[EU] Create your first game,اولین بازی خود را بسازید,[FI] Create your first game,Búg til tín fyrsta spæl,Créez votre premier jeu,Cruthaigh do chéad chluiche,[GL] Create your first game,Create your first game,צור את המשחק הראשון שלך,अपना पहला गेम बनाएं,Kreiraj svoju prvu igru,[HU] Create your first game,[ID] Create your first game,Búðu til fyrstu leik,Crea il tuo primo gioco,最初のゲームを作成,첫 게임 만들기,[LT] Create your first game,[LV] Create your first game,[MK] Create your first game,[MS] Create your first game,[MT] Create your first game,Maak je eerste spel,Opprett ditt første spill,Utwórz swoją pierwszą grę,Crie seu primeiro jogo,Crie seu primeiro jogo,Creează primul tău joc,Создайте свою первую игру,[SK] Create your first game,Ustvari svojo prvo igro,[SQ] Create your first game,[SR] Create your first game,Skapa ditt första spel,สร้างเกมแรกของคุณ,İlk oyununuzu oluşturun,Створіть свою першу гру,Create your first game,Tạo trò chơi đầu tiên của bạn,创建你的第一个游戏,Create your first game
createYourFirstSession,Translation key: createYourFirstSession,የመጀመሪያዎቹን ትዕይንት ይፍጠሩ,أنشئ جلستك الأولى,Създайте първата си сесия,[BN] Create your first session,আপনার প্রথম সেশন তৈরি করুন,[BS] Create your first session,Crea la teva primera sessió,Vytvořte svou první relaci,Creu eich sesiwn gyntaf,[DA] Create your first session,Erstellen Sie Ihre erste Sitzung,Create your first session,Crea tu primera sesión,[ES_419] Create your first session,Loo oma esimene seanss,[EU] Create your first session,اولین جلسه خود را بسازید,[FI] Create your first session,List teg fyrstu røktarsamtalu,Créez votre première session,Cruthaigh do chéad seisiún,[GL] Create your first session,Create your first session,צור את המפגש הראשון שלך,अपना पहला सत्र बनाएं,Kreiraj svoju prvu sesiju,Hozd létre az első munkameneted,[ID] Create your first session,Búðu til fyrstu lotu þína,[IT] Create your first session,最初のセッションを作成,[KO] Create your first session,[LT] Create your first session,[LV] Create your first session,[MK] Create your first session,[MS] Create your first session,[MT] Create your first session,Maak je eerste sessie,[NO] Create your first session,Utwórz swoją pierwszą sesję,[PT] Create your first session,Crie sua primeira sessão,Creează prima sesiune,Создайте свою первую сессию,[SK] Create your first session,Ustvari prvo sejo,[SQ] Create your first session,[SR] Create your first session,[SV] Create your first session,สร้างเซสชันแรกของคุณ,İlk oturumunuzu oluşturun,Створіть свою першу сесію,Create your first session,Tạo phiên đầu tiên của bạn,创建你的第一个会话,Create your first session
created,Translation key: created,ተፈጠረ,تم الإنشاء,Създадено,[BN] Created,তৈরি হয়েছে,[BS] Created,[CA] Created,Vytvořeno,Wedi creu,Oprettet,Erstellt,Created: {date},Creado,[ES_419] Created,Loodud,[EU] Created,ایجاد شده: {date},Luotu,Skapt,Créé,[GA] Created,[GL] Created,An ƙirƙira: {date},נוצר,बनाया गया: {date},[HR] Created,Létrehozva,[ID] Created,Búið til,[IT] Created,作成しました,생성됨,[LT] Created,[LV] Created,[MK] Created,Dicipta,[MT] Created,Aangemaakt,Opprettet,[PL] Created,Criado,Criado,[RO] Created,Создано,[SK] Created,Ustvarjeno,[SQ] Created,[SR] Created,[SV] Created,สร้างแล้ว,Oluşturuldu,Створено,بنایا گیا: {date},Đã tạo,已创建,建立於：{date}
creator,Translation key: creator,creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),,,Creador,creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),سازنده: {id},creator (TRANSLATE),creator (TRANSLATE),Créateur,creator (TRANSLATE),creator (TRANSLATE),Mai ƙirƙira: {id},יוצר,निर्माता: {id},creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),Creatore,creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE),تخلیق کار: {id},creator (TRANSLATE),creator (TRANSLATE),creator (TRANSLATE)
creatorCreatorid,Translation key: creatorCreatorid,,,,,,,,,,,,Creator: $creatorId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crm,Translation key: crm,,,,,,,,,,,,CRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crmDashboardWithAnalytics,Translation key: crmDashboardWithAnalytics,,,,,,,,,,,,• CRM dashboard with analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currentTierTiertouppercase,Translation key: currentTierTiertouppercase,,,,,,,,,,,,Current Tier: {tier_toUpperCase},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
customizeMessage,Translation key: customizeMessage,መልዕክት ያስተካክሉ,تخصيص الرسالة,Персонализиране на съобщение,আপনার বার্তা কাস্টমাইজ করুন...,বার্তা কাস্টমাইজ করুন,[BS] Customize Message,[CA] Customize Message,Přizpůsobit zprávu,[CY] Customize Message,Tilpas besked,Nachricht anpassen,Customize Message,Personalizar mensaje,[ES_419] Customize Message,[ET] Customize Message,[EU] Customize Message,پیام خود را سفارشی کنید...,Mukauta viestiä,Sérsnið boð,Personnaliser le message,Pearlisiú teachtaireachta,[GL] Customize Message,Keɓance saƙonka...,התאם אישית הודעה,अपना संदेश अनुकूलित करें...,[HR] Customize Message,Üzenet testreszabása,Sesuaikan pesan,Sérsníða skilaboð,[IT] Customize Message,メッセージをカスタマイズ,[KO] Customize Message,[LT] Customize Message,Pielāgot ziņojumu,[MK] Customize Message,Sesuaikan mesej,[MT] Customize Message,Bericht aanpassen,[NO] Customize Message,[PL] Customize Message,[PT] Customize Message,[PT_BR] Customize Message,[RO] Customize Message,Настроить сообщение,Prispôsobiť správu,[SL] Customize Message,[SQ] Customize Message,[SR] Customize Message,[SV] Customize Message,ปรับแต่งข้อความ,Mesajı özelleştir,Налаштувати повідомлення,اپنا پیغام حسبِ ضرورت بنائیں...,[VI] Customize Message,自定义消息,自訂您的訊息...
cut,Translation key: cut,ቁረጥ,قص,Изрежи,[BN] Cut,কাটুন,[BS] Cut,Talla,Vyjmout,[CY] Cut,Klip,Ausschneiden,Cut,Cortar,[ES_419] Cut,Lõika,Ebaki,برش,Leikkaa,Skera,Couper,Gearr,[GL] Cut,Cut,גזור,कट,Izreži,Kivágás,[ID] Cut,Skerða,Taglia,カット,잘라내기,[LT] Cut,[LV] Cut,[MK] Cut,[MS] Cut,[MT] Cut,Knippen,Klipp,Wytnij,[PT] Cut,[PT_BR] Cut,Decupează,Вырезать,Vystrihnúť,Izreži,[SQ] Cut,[SR] Cut,Klipp ut,ตัด,Kes,Вирізати,Cut,Cắt,剪切,Cut
darkMode,Translation key: darkMode,,,,,,,,,,,,Dark Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashboard,Translation key: dashboard,ዳሽቦርድ,لوحة القيادة,Табло,ড্যাশবোর্ড,ড্যাশবোর্ড,[BS] Dashboard,Tauler,Přístrojová deska,Dangosfwrdd,Oversigt,Dashboard,Dashboard,Panel de control,[ES_419] Dashboard,Juhtpaneel,[EU] Dashboard,داشبورد,[FI] Dashboard,Stýripanel,Tableau de bord,[GA] Dashboard,[GL] Dashboard,Dashboard,לוח מחוונים,डैशबोर्ड,[HR] Dashboard,Irányítópult,[ID] Dashboard,[IS] Dashboard,[IT] Dashboard,ダッシュボード,[KO] Dashboard,[LT] Dashboard,[LV] Dashboard,[MK] Dashboard,Papan pemuka,[MT] Dashboard,Dashboard,[NO] Dashboard,Panel sterowania,[PT] Dashboard,[PT_BR] Dashboard,[RO] Dashboard,Панель управления,Ovládací panel,[SL] Dashboard,[SQ] Dashboard,[SR] Dashboard,[SV] Dashboard,แดชบอร์ด,Pano,Панель керування,ڈیش بورڈ,Bảng điều khiển,仪表板,儀表板
dashboard1,Translation key: dashboard1,,,,,,,,,,,,Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,Translation key: date,,,,,,,,,,,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dateAppointmentscheduledattostring,Translation key: dateAppointmentscheduledattostring,,,,,,,,,,,,Date: {appointment_scheduledAt_toString},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decline,Translation key: decline,ይተው,رفض,Отказ,প্রত্যাখ্যান,প্রত্যাখ্যান,[BS] Decline,[CA] Decline,Odmítnout,Gwrthod,Afvis,Ablehnen,Decline,Declinar,[ES_419] Decline,Keeldu,[EU] Decline,رد کردن,Hylkää,Avvís,Décliner,Diúltú,[GL] Decline,Kiɗe,דחה,अस्वीकार करें,Odbij,Elutasítás,[ID] Decline,Hafna,Rifiuta,拒否,거부,[LT] Decline,[LV] Decline,[MK] Decline,[MS] Decline,[MT] Decline,Weigeren,Avslå,Odrzuć,Recusar,Recusar,[RO] Decline,Отклонить,Odmietnuť,Zavrni,[SQ] Decline,[SR] Decline,Avböj,ปฏิเสธ,Reddet,Відхилити,مسترد کریں,Từ chối,拒绝,拒絕
defaultShareMessage,Translation key: defaultShareMessage,የአካፋይ መልእክት,رسالة المشاركة الافتراضية,Стандартно съобщение за споделяне,[BN] Let's meet via Appoint!,ডিফল্ট শেয়ার বার্তা,[BS] Let's meet via Appoint!,[CA] Let's meet via Appoint!,Výchozí zpráva pro sdílení,[CY] Let's meet via Appoint!,[DA] Let's meet via Appoint!,Standard-Teilungsnachricht,Let's meet via Appoint!,Mensaje de compartir predeterminado,[ES_419] Let's meet via Appoint!,Vaikimisi jagamissõnum,[EU] Let's meet via Appoint!,سلام! من یک جلسه با شما از طریق APP-OINT برنامه‌ریزی کرده‌ام. برای تأیید یا پیشنهاد زمان دیگر کلیک کنید:,Oletusjakoviesti,Sjálvvalda boð,Message de partage par défaut,[GA] Let's meet via Appoint!,[GL] Let's meet via Appoint!,Sannu! Mun shirya taro tare da kai ta APP‑OINT. Danna nan don tabbatarwa ko ba da shawarar wata lokaci:,הודעת שיתוף ברירת מחדל,हाय! मैंने APP-OINT के माध्यम से आपके साथ एक मीटिंग शेड्यूल की है। पुष्टि करने या अन्य समय सुझाने के लिए यहां क्लिक करें:,[HR] Let's meet via Appoint!,Alapértelmezett megosztási üzenet,Pesan berbagi default,Sjálfgefið hlutdeildarskilaboð,[IT] Let's meet via Appoint!,デフォルトの共有メッセージ,기본 공유 메시지,[LT] Let's meet via Appoint!,[LV] Let's meet via Appoint!,[MK] Let's meet via Appoint!,[MS] Let's meet via Appoint!,[MT] Let's meet via Appoint!,[NL] Let's meet via Appoint!,[NO] Let's meet via Appoint!,Domyślna wiadomość udostępniania,[PT] Let's meet via Appoint!,[PT_BR] Let's meet via Appoint!,Mesaj implicit pentru distribuire,Стандартное сообщение для обмена,Predvolená správa na zdieľanie,[SL] Let's meet via Appoint!,[SQ] Let's meet via Appoint!,[SR] Let's meet via Appoint!,[SV] Let's meet via Appoint!,ข้อความแชร์เริ่มต้น,Varsayılan paylaşım mesajı,За замовчуванням повідомлення для спільного доступу,ہیلو! میں نے APP-OINT کے ذریعے آپ کے ساتھ ملاقات شیڈول کی ہے۔ تصدیق کرنے یا دوسرا وقت تجویز کرنے کے لیے یہاں کلک کریں:,[VI] Let's meet via Appoint!,默认分享消息,嗨！我透過 APP‑OINT 安排了一次會議。點此確認或提出其他時間：
delete,Translation key: delete,ሰርዝ,حذف,Изтриване,[BN] Delete,মুছে দিন,[BS] Delete,Suprimeix,Odstranit,Dileu,Slet,Löschen,Delete,Eliminar,[ES_419] Delete,Kustuta,[EU] Delete,حذف,Poista,Strika,Supprimer,Scrios,[GL] Delete,Delete,מחק,हटाएं,Obriši,Törlés,Hapus,Eyða,[IT] Delete,削除,삭제,[LT] Delete,[LV] Delete,[MK] Delete,Padam,[MT] Delete,Verwijderen,Slett,Usuń,Excluir,Excluir,Șterge,Удалить,Vymazať,Izbriši,[SQ] Delete,[SR] Delete,Radera,ลบ,Sil,Видалити,Delete,Xóa,删除,Delete
delete1,Translation key: delete1,,,,,,,,,,,,Delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteAccount,Translation key: deleteAccount,,,,,,,,,,,,Delete Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteAppointment,Translation key: deleteAppointment,,,,,,,,,,,,Delete Appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteAvailability,Translation key: deleteAvailability,,,,,,,,,,,,Delete Availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteBackground,Translation key: deleteBackground,,,,,,,,,,,,Delete Background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteFunctionalityComingSoon,Translation key: deleteFunctionalityComingSoon,,,,,,,,,,,,Delete functionality coming soon!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteGame,Translation key: deleteGame,,,,,,,,,,,,Delete Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteMessage,Translation key: deleteMessage,,,,,,,,,,,,Delete Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteMyAccount,Translation key: deleteMyAccount,,,,,,,,,,,,Delete My Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteProvider,Translation key: deleteProvider,,,,,,,,,,,,Delete Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteSlot,Translation key: deleteSlot,,,,,,,,,,,,Delete Slot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deleteSurvey,Translation key: deleteSurvey,,,,,,,,,,,,Delete Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deletingAccount,Translation key: deletingAccount,,,,,,,,,,,,Deleting account...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
details,Translation key: details,ዝርዝሮች,التفاصيل,Подробности,বিস্তারিত,বিবরণ,[BS] Details,Detalls,Podrobnosti,[CY] Details,Detaljer,Details,Details,Detalles,[ES_419] Details,Üksikasjad,Xehetasunak,جزئیات,Tiedot,Sert,Détails,[GA] Details,[GL] Details,Cikakkun bayanai,פרטים,विवरण,Detalji,Részletek,Detail,[IS] Details,[IT] Details,詳細,[KO] Details,[LT] Details,Detaļas,[MK] Details,[MS] Details,[MT] Details,Details,Detaljer,Szczegóły,[PT] Details,Detalhes,Detalii,Подробности,Podrobnosti,Podrobnosti,[SQ] Details,[SR] Details,Detaljer,รายละเอียด,Detaylar,Деталі,تفصیلات,Chi tiết,详细信息,詳細資訊
deviceLogdeviceinfo,Translation key: deviceLogdeviceinfo,,,,,,,,,,,,Device: {log_deviceInfo},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
done,Translation key: done,ተጠናቋል,تم,Готово,সিদ্ধ,সম্পন্ন,[BS] Done,Fet,[CS] Done,[CY] Done,Færdig,Fertig,Done,Hecho,[ES_419] Done,Valmis,[EU] Done,انجام شد,Valmis,Gjørdur,Terminé,Déanta,[GL] Done,Done,בוצע,पूर्ण,[HR] Done,Kész,Selesai,Lokið,[IT] Done,完了,완료,[LT] Done,[LV] Done,[MK] Done,Selesai,[MT] Done,Klaar,Ferdig,[PL] Done,[PT] Done,[PT_BR] Done,[RO] Done,Готово,[SK] Done,[SL] Done,[SQ] Done,[SR] Done,Klar,เสร็จสิ้น,[TR] Done,Готово,Done,[VI] Done,完成,Done
download,Translation key: download,ያውርዱ,تنزيل,Изтегляне,ডাউনলোড,ডাউনলোড,[BS] Download,Descarrega,Stáhnout,Lawrlwytho,Hent,Herunterladen,Download,Descargar,[ES_419] Download,Laadi alla,[EU] Download,دانلود,[FI] Download,Download,Télécharger,Íoslódáil,[GL] Download,Download,הורדה,डाउनलोड,Preuzmi,Letöltés,Unduh,Sækja,Scarica,ダウンロード,다운로드,[LT] Download,[LV] Download,[MK] Download,[MS] Download,[MT] Download,Downloaden,Last ned,Pobierz,Baixar,Baixar,Descarcă,Загрузить,Stiahnuť,Prenesi,[SQ] Download,[SR] Download,Ladda ner,ดาวน์โหลด,İndir,Завантажити,Download,Tải xuống,下载,Download
durationDurationinminutes0Minutes,Translation key: durationDurationinminutes0Minutes,,,,,,,,,,,,Duration: {duration_inMinutes_0} minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edit,Translation key: edit,አርትዕ,تعديل,Редактирай,সম্পাদনা,সম্পাদনা করুন,[BS] Edit,Edita,Upravit,Golygwch,Redigér,Bearbeiten,Edit,Editar,[ES_419] Edit,Muuda,[EU] Edit,ویرایش,Muokkaa,Broyt,Modifier,[GA] Edit,[GL] Edit,Edit,ערוך,संपादित करें,Uredi,Szerkesztés,Edit,Breyta,[IT] Edit,編集,[KO] Edit,[LT] Edit,[LV] Edit,[MK] Edit,Edit,[MT] Edit,Bewerken,Rediger,Edytuj,[PT] Edit,Editar,Editează,Редактировать,Upraviť,Uredi,[SQ] Edit,[SR] Edit,Redigera,แก้ไข,Düzenle,Редагувати,Edit,Chỉnh sửa,编辑,Edit
edit1,Translation key: edit1,,,,,,,,,,,,Edit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editBusinessProfile,Translation key: editBusinessProfile,,,,,,,,,,,,Edit Business Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editClient,Translation key: editClient,,,,,,,,,,,,Edit Client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editProfile,Translation key: editProfile,,,,,,,,,,,,Edit Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editProvider,Translation key: editProvider,,,,,,,,,,,,Edit Provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editRoom,Translation key: editRoom,,,,,,,,,,,,Edit Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
editSurveyComingSoon,Translation key: editSurveyComingSoon,,,,,,,,,,,,Edit survey - Coming soon!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ekeyEvalue,Translation key: ekeyEvalue,,,,,,,,,,,,{e_key}: {e_value},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
